,Pheno.MimNumber,value,Tissue,Disease,Gene Symbols,Gene.MimNumber,Cyto Location,Gtex_Tissue
708,135700,69.25,Skeletal Muscle,"FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 1; CFEOM1","KIF21A, KIAA1708, FEOM1, CFEOM1, CFEOM3B",608283,12q12,Muscle
709,136120,36.32,kidney,FISH-EYE DISEASE; FED,LCAT,606967,16q22.1,Kidney
710,136120,33.48,Liver,FISH-EYE DISEASE; FED,LCAT,606967,16q22.1,Liver
711,136680,49.75,kidney,FRASIER SYNDROME,"WT1, NPHS4",607102,11p13,Kidney
712,136680,8.77,Uterus,FRASIER SYNDROME,"WT1, NPHS4",607102,11p13,Uterus
713,136680,21.3,testis,FRASIER SYNDROME,"WT1, NPHS4",607102,11p13,Testis
714,137215,28.99,lymph node,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC","CDH1, UVO, LCAM, ECAD, BCDS1",192090,16q22.1,
715,137215,28.99,lymph node,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC","KRAS, KRAS2, RASK2, NS, CFC2, RALD",190070,12p12.1,
716,137215,28.99,lymph node,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC",IL1B,147720,2q14.1,
717,137215,28.99,lymph node,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC","IL1RN, MVCD4, DIRA",147679,2q14.1,
718,137215,10.16,Lung,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC","CDH1, UVO, LCAM, ECAD, BCDS1",192090,16q22.1,Lung
719,137215,10.16,Lung,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC","KRAS, KRAS2, RASK2, NS, CFC2, RALD",190070,12p12.1,Lung
720,137215,10.16,Lung,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC",IL1B,147720,2q14.1,Lung
721,137215,10.16,Lung,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC","IL1RN, MVCD4, DIRA",147679,2q14.1,Lung
722,137215,11.34,Liver,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC","CDH1, UVO, LCAM, ECAD, BCDS1",192090,16q22.1,Liver
723,137215,11.34,Liver,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC","KRAS, KRAS2, RASK2, NS, CFC2, RALD",190070,12p12.1,Liver
724,137215,11.34,Liver,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC",IL1B,147720,2q14.1,Liver
725,137215,11.34,Liver,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC","IL1RN, MVCD4, DIRA",147679,2q14.1,Liver
726,137440,9.3,Thalamus,GERSTMANN-STRAUSSLER DISEASE; GSD,"PRNP, PRIP, KURU, CJD",176640,20p13,Brain
727,137440,17.21,cerebellum,GERSTMANN-STRAUSSLER DISEASE; GSD,"PRNP, PRIP, KURU, CJD",176640,20p13,Brain
728,137600,14.16,Heart,ANTERIOR SEGMENT DYSGENESIS 4; ASGD4,"PITX2, IDG2, RIEG1, RGS, IGDS2, ASGD4",601542,4q25,Heart
729,137600,37.88,skin,ANTERIOR SEGMENT DYSGENESIS 4; ASGD4,"PITX2, IDG2, RIEG1, RGS, IGDS2, ASGD4",601542,4q25,Skin
730,137600,47.96,testis,ANTERIOR SEGMENT DYSGENESIS 4; ASGD4,"PITX2, IDG2, RIEG1, RGS, IGDS2, ASGD4",601542,4q25,Testis
731,137750,16.72,Heart,"GLAUCOMA 1, OPEN ANGLE, A; GLC1A","MYOC, TIGR, GLC1A, JOAG, GPOA",601652,1q24.3,Heart
732,137750,8.33,Occipital Lobe,"GLAUCOMA 1, OPEN ANGLE, A; GLC1A","MYOC, TIGR, GLC1A, JOAG, GPOA",601652,1q24.3,Brain
733,137750,28.17,ciliary ganglion,"GLAUCOMA 1, OPEN ANGLE, A; GLC1A","MYOC, TIGR, GLC1A, JOAG, GPOA",601652,1q24.3,Brain
734,137760,15.09,Heart,"GLAUCOMA, PRIMARY OPEN ANGLE; POAG","OPTN, GLC1E, FIP2, HYPL, NRP, ALS12",602432,10p13,Heart
735,137760,32.09,ciliary ganglion,"GLAUCOMA, PRIMARY OPEN ANGLE; POAG","OPTN, GLC1E, FIP2, HYPL, NRP, ALS12",602432,10p13,Brain
736,137800,8.21,Pons,GLIOMA SUSCEPTIBILITY 1; GLM1,"ERBB2, NGL, NEU, HER2",164870,17q12,Brain
737,137800,8.21,Pons,GLIOMA SUSCEPTIBILITY 1; GLM1,"TP53, P53, LFS1 , BCC7",191170,17p13.1,Brain
738,137800,8.21,Pons,GLIOMA SUSCEPTIBILITY 1; GLM1,IDH1,147700,2q34,Brain
739,137800,10.28,cerebellum,GLIOMA SUSCEPTIBILITY 1; GLM1,"ERBB2, NGL, NEU, HER2",164870,17q12,Brain
740,137800,10.28,cerebellum,GLIOMA SUSCEPTIBILITY 1; GLM1,"TP53, P53, LFS1 , BCC7",191170,17p13.1,Brain
741,137800,10.28,cerebellum,GLIOMA SUSCEPTIBILITY 1; GLM1,IDH1,147700,2q34,Brain
742,137800,8.08,spinal cord,GLIOMA SUSCEPTIBILITY 1; GLM1,"ERBB2, NGL, NEU, HER2",164870,17q12,Brain
743,137800,8.08,spinal cord,GLIOMA SUSCEPTIBILITY 1; GLM1,"TP53, P53, LFS1 , BCC7",191170,17p13.1,Brain
744,137800,8.08,spinal cord,GLIOMA SUSCEPTIBILITY 1; GLM1,IDH1,147700,2q34,Brain
745,137800,8.38,Whole Brain,GLIOMA SUSCEPTIBILITY 1; GLM1,"ERBB2, NGL, NEU, HER2",164870,17q12,Brain
746,137800,8.38,Whole Brain,GLIOMA SUSCEPTIBILITY 1; GLM1,"TP53, P53, LFS1 , BCC7",191170,17p13.1,Brain
747,137800,8.38,Whole Brain,GLIOMA SUSCEPTIBILITY 1; GLM1,IDH1,147700,2q34,Brain
748,137800,12.1,Temporal Lobe,GLIOMA SUSCEPTIBILITY 1; GLM1,"ERBB2, NGL, NEU, HER2",164870,17q12,Brain
749,137800,12.1,Temporal Lobe,GLIOMA SUSCEPTIBILITY 1; GLM1,"TP53, P53, LFS1 , BCC7",191170,17p13.1,Brain
750,137800,12.1,Temporal Lobe,GLIOMA SUSCEPTIBILITY 1; GLM1,IDH1,147700,2q34,Brain
751,137920,91.97,kidney,RENAL CYSTS AND DIABETES SYNDROME; RCAD,"HNF1B, TCF2, HNF2, MODY5, FJHN, HPC11",189907,17q12,Kidney
752,137920,8.03,Liver,RENAL CYSTS AND DIABETES SYNDROME; RCAD,"HNF1B, TCF2, HNF2, MODY5, FJHN, HPC11",189907,17q12,Liver
753,138000,55.19,skin,GLOMUVENOUS MALFORMATIONS; GVM,"GLML, GVM, VMGLOM, GLMN",601749,1p22.1,Skin
754,138000,17.72,Smooth Muscle,GLOMUVENOUS MALFORMATIONS; GVM,"GLML, GVM, VMGLOM, GLMN",601749,1p22.1,Muscle
755,139300,26.0,Ovary,AROMATASE EXCESS SYNDROME; AEXS,"CYP19A1, CYP19, ARO",107910,15q21.2,Ovary
756,139300,8.92,Testis Leydig Cell,AROMATASE EXCESS SYNDROME; AEXS,"CYP19A1, CYP19, ARO",107910,15q21.2,Testis
757,139300,11.59,testis,AROMATASE EXCESS SYNDROME; AEXS,"CYP19A1, CYP19, ARO",107910,15q21.2,Testis
758,140350,12.85,kidney,HAWKINSINURIA,HPD,609695,12q24.31,Kidney
759,140350,56.83,Liver,HAWKINSINURIA,HPD,609695,12q24.31,Liver
760,141500,37.66,Occipital Lobe,"MIGRAINE, FAMILIAL HEMIPLEGIC, 1; FHM1","CACNA1A, CACNL1A4, SCA6, EIEE42",601011,19p13.13,Brain
761,141500,13.34,cerebellum,"MIGRAINE, FAMILIAL HEMIPLEGIC, 1; FHM1","CACNA1A, CACNL1A4, SCA6, EIEE42",601011,19p13.13,Brain
762,142623,26.15,Smooth Muscle,"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1; HSCR1","RET, MEN2A, HSCR1",164761,10q11.21,Muscle
763,142623,18.69,Thyroid,"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1; HSCR1","RET, MEN2A, HSCR1",164761,10q11.21,Thyroid
764,142623,14.68,Appendix,"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1; HSCR1","RET, MEN2A, HSCR1",164761,10q11.21,
765,142680,22.42,kidney,"PERIODIC FEVER, FAMILIAL, AUTOSOMAL DOMINANT","TNFRSF1A, TNFR1, TNFAR, FPF, MS5",191190,12p13.31,Kidney
766,142680,20.81,skin,"PERIODIC FEVER, FAMILIAL, AUTOSOMAL DOMINANT","TNFRSF1A, TNFR1, TNFAR, FPF, MS5",191190,12p13.31,Skin
767,142680,11.31,Monocytes,"PERIODIC FEVER, FAMILIAL, AUTOSOMAL DOMINANT","TNFRSF1A, TNFR1, TNFAR, FPF, MS5",191190,12p13.31,Blood
768,142680,10.51,Adrenal Cortex,"PERIODIC FEVER, FAMILIAL, AUTOSOMAL DOMINANT","TNFRSF1A, TNFR1, TNFAR, FPF, MS5",191190,12p13.31,Adrenal Gland
769,142900,84.18,Heart,HOLT-ORAM SYNDROME; HOS,TBX5,601620,12q24.21,Heart
770,142945,8.52,Olfactory Bulb,HOLOPROSENCEPHALY 3; HPE3,"SHH, HPE3, HLP3, SMMCI, MCOPCB5",600725,7q36.3,Brain
771,142945,9.83,cerebellum,HOLOPROSENCEPHALY 3; HPE3,"SHH, HPE3, HLP3, SMMCI, MCOPCB5",600725,7q36.3,Brain
772,142945,8.3,fetal brain,HOLOPROSENCEPHALY 3; HPE3,"SHH, HPE3, HLP3, SMMCI, MCOPCB5",600725,7q36.3,
773,142945,12.17,Pituitary,HOLOPROSENCEPHALY 3; HPE3,"SHH, HPE3, HLP3, SMMCI, MCOPCB5",600725,7q36.3,Pituitary
774,142946,9.83,cerebellum,HOLOPROSENCEPHALY 4; HPE4,"TGIF1, HPE4",602630,18p11.31,Brain
775,142946,8.52,Olfactory Bulb,HOLOPROSENCEPHALY 4; HPE4,"TGIF1, HPE4",602630,18p11.31,Brain
776,142946,12.17,Pituitary,HOLOPROSENCEPHALY 4; HPE4,"TGIF1, HPE4",602630,18p11.31,Pituitary
777,142946,8.3,fetal brain,HOLOPROSENCEPHALY 4; HPE4,"TGIF1, HPE4",602630,18p11.31,
778,143465,30.43,Prefrontal Cortex,ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD,"DRD5, DRD1B, DRD1L2",126453,4p16.1,Brain
779,143465,30.43,Prefrontal Cortex,ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD,ADHD1,608903,16p13,Brain
780,143465,30.43,Prefrontal Cortex,ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD,ADHD2,608904,17p11,Brain
781,143465,30.43,Prefrontal Cortex,ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD,ADHD3,608905,6q12,Brain
782,143465,30.43,Prefrontal Cortex,ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD,ADHD4,608906,5p13,Brain
783,143465,30.43,Prefrontal Cortex,ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD,DRD4,126452,11p15.5,Brain
784,143500,42.76,Liver,GILBERT SYNDROME,"UGT1A1, UGT1, GNT1, BILIQTL1",191740,2q37.1,Liver
785,143890,23.96,Heart,"HYPERCHOLESTEROLEMIA, FAMILIAL","LDLR, FHC, FH, LDLCQ2",606945,19p13.2,Heart
786,143890,23.96,Heart,"HYPERCHOLESTEROLEMIA, FAMILIAL","ABCA1, ABC1, HDLDT1, TGD",600046,9q31.1,Heart
787,143890,23.96,Heart,"HYPERCHOLESTEROLEMIA, FAMILIAL",EPHX2,132811,8p21.2-p21.1,Heart
788,143890,23.96,Heart,"HYPERCHOLESTEROLEMIA, FAMILIAL",APOA2,107670,1q23.3,Heart
789,143890,23.96,Heart,"HYPERCHOLESTEROLEMIA, FAMILIAL","GHR, GHIP",600946,5p13-p12,Heart
790,143890,23.96,Heart,"HYPERCHOLESTEROLEMIA, FAMILIAL",GSBS,604088,7p14.3,Heart
791,143890,23.96,Heart,"HYPERCHOLESTEROLEMIA, FAMILIAL","ITIH4, PK120, ITIHL1",600564,3p21.1,Heart
792,143890,18.64,Liver,"HYPERCHOLESTEROLEMIA, FAMILIAL","LDLR, FHC, FH, LDLCQ2",606945,19p13.2,Liver
793,143890,18.64,Liver,"HYPERCHOLESTEROLEMIA, FAMILIAL","ABCA1, ABC1, HDLDT1, TGD",600046,9q31.1,Liver
794,143890,18.64,Liver,"HYPERCHOLESTEROLEMIA, FAMILIAL",EPHX2,132811,8p21.2-p21.1,Liver
795,143890,18.64,Liver,"HYPERCHOLESTEROLEMIA, FAMILIAL",APOA2,107670,1q23.3,Liver
796,143890,18.64,Liver,"HYPERCHOLESTEROLEMIA, FAMILIAL","GHR, GHIP",600946,5p13-p12,Liver
797,143890,18.64,Liver,"HYPERCHOLESTEROLEMIA, FAMILIAL",GSBS,604088,7p14.3,Liver
798,143890,18.64,Liver,"HYPERCHOLESTEROLEMIA, FAMILIAL","ITIH4, PK120, ITIHL1",600564,3p21.1,Liver
799,143890,8.9,Monocytes,"HYPERCHOLESTEROLEMIA, FAMILIAL","LDLR, FHC, FH, LDLCQ2",606945,19p13.2,Blood
800,143890,8.9,Monocytes,"HYPERCHOLESTEROLEMIA, FAMILIAL","ABCA1, ABC1, HDLDT1, TGD",600046,9q31.1,Blood
801,143890,8.9,Monocytes,"HYPERCHOLESTEROLEMIA, FAMILIAL",EPHX2,132811,8p21.2-p21.1,Blood
802,143890,8.9,Monocytes,"HYPERCHOLESTEROLEMIA, FAMILIAL",APOA2,107670,1q23.3,Blood
803,143890,8.9,Monocytes,"HYPERCHOLESTEROLEMIA, FAMILIAL","GHR, GHIP",600946,5p13-p12,Blood
804,143890,8.9,Monocytes,"HYPERCHOLESTEROLEMIA, FAMILIAL",GSBS,604088,7p14.3,Blood
805,143890,8.9,Monocytes,"HYPERCHOLESTEROLEMIA, FAMILIAL","ITIH4, PK120, ITIHL1",600564,3p21.1,Blood
806,144010,9.83,skin,"HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT, TYPE B","APOB, FLDB, LDLCQ4",107730,2p24.1,Skin
807,144010,8.54,Smooth Muscle,"HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT, TYPE B","APOB, FLDB, LDLCQ4",107730,2p24.1,Muscle
808,144010,26.22,Heart,"HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT, TYPE B","APOB, FLDB, LDLCQ4",107730,2p24.1,Heart
809,144010,10.35,Monocytes,"HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT, TYPE B","APOB, FLDB, LDLCQ4",107730,2p24.1,Blood
810,144010,16.77,Liver,"HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT, TYPE B","APOB, FLDB, LDLCQ4",107730,2p24.1,Liver
811,144200,77.15,skin,"PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC; EPPK","KRT1, EPPK, NEPPK, EHK",139350,12q13.13,Skin
812,144200,77.15,skin,"PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC; EPPK","KRT9, EPPK",607606,17q21.2,Skin
813,144700,52.35,kidney,"RENAL CELL CARCINOMA, NONPAPILLARY; RCC","FLCN, BHD",607273,17p11.2,Kidney
814,144700,52.35,kidney,"RENAL CELL CARCINOMA, NONPAPILLARY; RCC","DIRC2, RCC4",602773,3q21.1,Kidney
815,144700,52.35,kidney,"RENAL CELL CARCINOMA, NONPAPILLARY; RCC","HNF1A, TCF1, MODY3, IDDM20",142410,12q24.31,Kidney
816,144700,52.35,kidney,"RENAL CELL CARCINOMA, NONPAPILLARY; RCC","RNF139, TRC8, RCA1",603046,8q24.13,Kidney
817,144700,52.35,kidney,"RENAL CELL CARCINOMA, NONPAPILLARY; RCC",OGG1,601982,3p25.3,Kidney
818,144700,52.35,kidney,"RENAL CELL CARCINOMA, NONPAPILLARY; RCC",VHL,608537,3p25.3,Kidney
819,144700,52.35,kidney,"RENAL CELL CARCINOMA, NONPAPILLARY; RCC","HNF1B, TCF2, HNF2, MODY5, FJHN, HPC11",189907,17q12,Kidney
820,144750,13.94,Monocytes,"ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINANT","LRP5, BMND1, LRP7, LR3, OPPG, VBCH2, OPTA1, EVR4, PCLD4",603506,11q13.2,Blood
821,144750,11.01,Thyroid,"ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINANT","LRP5, BMND1, LRP7, LR3, OPPG, VBCH2, OPTA1, EVR4, PCLD4",603506,11q13.2,Thyroid
822,144750,16.29,skin,"ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINANT","LRP5, BMND1, LRP7, LR3, OPPG, VBCH2, OPTA1, EVR4, PCLD4",603506,11q13.2,Skin
823,144750,12.49,bone marrow,"ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINANT","LRP5, BMND1, LRP7, LR3, OPPG, VBCH2, OPTA1, EVR4, PCLD4",603506,11q13.2,Bone Marrow
824,145000,38.83,kidney,HYPERPARATHYROIDISM 1; HRPT1,"CDC73, HRPT2, C1orf28",607393,1q31.2,Kidney
825,145000,22.08,Thyroid,HYPERPARATHYROIDISM 1; HRPT1,"CDC73, HRPT2, C1orf28",607393,1q31.2,Thyroid
826,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL","PTGIS, CYP8A1, PGIS, CYP8",601699,20q13.13,Heart
827,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL",ATP1B1,182330,1q24.2,Heart
828,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL",RGS5,603276,1q23.3,Heart
829,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL",ADD1,102680,4p16.3,Heart
830,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL",HYT1,603918,17q,Heart
831,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL",HYT2,604329,15q,Heart
832,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL",HYT3,607329,2p25-p24,Heart
833,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL",HYT4,608742,12p12.2-p12.1,Heart
834,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL",HYT5,610261,20q11-q13,Heart
835,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL",HYT6,610262,5p13-q12,Heart
836,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL","AGT, SERPINA8",106150,1q42.2,Heart
837,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL",ECE1,600423,1p36.12,Heart
838,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL","GNB3, CSNB1H",139130,12p13.31,Heart
839,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL","AGTR1, AGTR1A, AT2R1",106165,3q24,Heart
840,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL","CYP3A5, P450PCN3",605325,7q22.1,Heart
841,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL","NOS2A, NOS2",163730,17q11.2,Heart
842,145500,31.21,Heart,"HYPERTENSION, ESSENTIAL",NOS3,163729,7q36.1,Heart
843,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL","PTGIS, CYP8A1, PGIS, CYP8",601699,20q13.13,Muscle
844,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL",ATP1B1,182330,1q24.2,Muscle
845,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL",RGS5,603276,1q23.3,Muscle
846,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL",ADD1,102680,4p16.3,Muscle
847,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL",HYT1,603918,17q,Muscle
848,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL",HYT2,604329,15q,Muscle
849,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL",HYT3,607329,2p25-p24,Muscle
850,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL",HYT4,608742,12p12.2-p12.1,Muscle
851,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL",HYT5,610261,20q11-q13,Muscle
852,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL",HYT6,610262,5p13-q12,Muscle
853,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL","AGT, SERPINA8",106150,1q42.2,Muscle
854,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL",ECE1,600423,1p36.12,Muscle
855,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL","GNB3, CSNB1H",139130,12p13.31,Muscle
856,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL","AGTR1, AGTR1A, AT2R1",106165,3q24,Muscle
857,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL","CYP3A5, P450PCN3",605325,7q22.1,Muscle
858,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL","NOS2A, NOS2",163730,17q11.2,Muscle
859,145500,10.81,Smooth Muscle,"HYPERTENSION, ESSENTIAL",NOS3,163729,7q36.1,Muscle
860,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL","PTGIS, CYP8A1, PGIS, CYP8",601699,20q13.13,Kidney
861,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL",ATP1B1,182330,1q24.2,Kidney
862,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL",RGS5,603276,1q23.3,Kidney
863,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL",ADD1,102680,4p16.3,Kidney
864,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL",HYT1,603918,17q,Kidney
865,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL",HYT2,604329,15q,Kidney
866,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL",HYT3,607329,2p25-p24,Kidney
867,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL",HYT4,608742,12p12.2-p12.1,Kidney
868,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL",HYT5,610261,20q11-q13,Kidney
869,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL",HYT6,610262,5p13-q12,Kidney
870,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL","AGT, SERPINA8",106150,1q42.2,Kidney
871,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL",ECE1,600423,1p36.12,Kidney
872,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL","GNB3, CSNB1H",139130,12p13.31,Kidney
873,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL","AGTR1, AGTR1A, AT2R1",106165,3q24,Kidney
874,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL","CYP3A5, P450PCN3",605325,7q22.1,Kidney
875,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL","NOS2A, NOS2",163730,17q11.2,Kidney
876,145500,19.57,kidney,"HYPERTENSION, ESSENTIAL",NOS3,163729,7q36.1,Kidney
877,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL","PTGIS, CYP8A1, PGIS, CYP8",601699,20q13.13,Adrenal Gland
878,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL",ATP1B1,182330,1q24.2,Adrenal Gland
879,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL",RGS5,603276,1q23.3,Adrenal Gland
880,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL",ADD1,102680,4p16.3,Adrenal Gland
881,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL",HYT1,603918,17q,Adrenal Gland
882,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL",HYT2,604329,15q,Adrenal Gland
883,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL",HYT3,607329,2p25-p24,Adrenal Gland
884,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL",HYT4,608742,12p12.2-p12.1,Adrenal Gland
885,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL",HYT5,610261,20q11-q13,Adrenal Gland
886,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL",HYT6,610262,5p13-q12,Adrenal Gland
887,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL","AGT, SERPINA8",106150,1q42.2,Adrenal Gland
888,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL",ECE1,600423,1p36.12,Adrenal Gland
889,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL","GNB3, CSNB1H",139130,12p13.31,Adrenal Gland
890,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL","AGTR1, AGTR1A, AT2R1",106165,3q24,Adrenal Gland
891,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL","CYP3A5, P450PCN3",605325,7q22.1,Adrenal Gland
892,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL","NOS2A, NOS2",163730,17q11.2,Adrenal Gland
893,145500,8.73,adrenal gland,"HYPERTENSION, ESSENTIAL",NOS3,163729,7q36.1,Adrenal Gland
894,145600,70.6,Skeletal Muscle,"MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 1; MHS1","RYR1, MHS, CCO",180901,19q13.2,Muscle
895,145900,16.76,spinal cord,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"EGR2, KROX20",129010,10q21.3,Brain
896,145900,16.76,spinal cord,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"MPZ, CMT1B, CMTDID, CHM, DSS",159440,1q23.3,Brain
897,145900,16.76,spinal cord,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"PMP22, CMT1A, CMT1E, DSS, CIDP",601097,17p12,Brain
898,145900,16.76,spinal cord,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"PRX, CMT4F",605725,19q13.2,Brain
899,145900,20.5,Skeletal Muscle,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"EGR2, KROX20",129010,10q21.3,Muscle
900,145900,20.5,Skeletal Muscle,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"MPZ, CMT1B, CMTDID, CHM, DSS",159440,1q23.3,Muscle
901,145900,20.5,Skeletal Muscle,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"PMP22, CMT1A, CMT1E, DSS, CIDP",601097,17p12,Muscle
902,145900,20.5,Skeletal Muscle,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"PRX, CMT4F",605725,19q13.2,Muscle
903,145900,12.08,dorsal root ganglion,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"EGR2, KROX20",129010,10q21.3,Brain
904,145900,12.08,dorsal root ganglion,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"MPZ, CMT1B, CMTDID, CHM, DSS",159440,1q23.3,Brain
905,145900,12.08,dorsal root ganglion,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"PMP22, CMT1A, CMT1E, DSS, CIDP",601097,17p12,Brain
906,145900,12.08,dorsal root ganglion,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS,"PRX, CMT4F",605725,19q13.2,Brain
907,145980,13.31,Thyroid,"HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE I; HHC1","CASR, HHC1, PCAR1, FIH, EIG8, HYPOC1",601199,3q13.3-q21.1,Thyroid
908,145980,49.75,kidney,"HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE I; HHC1","CASR, HHC1, PCAR1, FIH, EIG8, HYPOC1",601199,3q13.3-q21.1,Kidney
